0,1,2,3,4,5
0.658055865,0.665098728,0.585316963,0.613715472,0.610595987,0.51772623
0.719490317,0.691093345,0.652762103,0.644358836,0.616341398,0.528836694
0.740300769,0.774322475,0.687947875,0.674957126,0.619674193,0.542610852
0.746266313,0.786397895,0.703964582,0.683286313,0.653329349,0.609328412
0.756211851,0.792354845,0.72394777,0.691819637,0.610343184,0.614012614
0.765775649,0.793666417,0.730456286,0.696808729,0.647300118,0.617743331
0.774111155,0.79985946,0.733857649,0.696811924,0.646261884,0.582031736
0.780056522,0.820866259,0.742120594,0.706693188,0.637755934,0.587133748
0.78410419,0.821038562,0.747719347,0.698834358,0.610332928,0.584990707
0.794543969,0.826231098,0.754884817,0.71609614,0.644099039,0.564364166
0.800762661,0.830250127,0.757437081,0.723264439,0.64686585,0.567704429
0.805499201,0.833552185,0.757914497,0.729537456,0.631150546,0.576868135
0.80616664,0.83521829,0.762648368,0.736351632,0.663823788,0.578805933
0.806736011,0.839297457,0.76674631,0.739432811,0.659739828,0.61457377
0.805637573,0.844929636,0.768561235,0.702958237,0.618467885,0.620657881
0.806431249,0.843683917,0.771473338,0.709012128,0.648063154,0.619819536
0.808327356,0.844590999,0.775552038,0.709974328,0.652007284,0.601684558
0.810510644,0.846341778,0.777891192,0.708495381,0.670527485,0.598620462
0.813483176,0.847936767,0.780064233,0.70178215,0.679661939,0.599292534
0.814826962,0.850491012,0.781813035,0.707914925,0.682296734,0.600651837
