Mean HR,Minimum HR,Maximum HR,Mean SBP,Minimum SBP,Maximum SBP,Mean DBP,Minimum DBP,Maximum DBP,Mean MAP,Minimum MAP,Maximum MAP,Mean RR,Minimum RR,Maximum RR,Mean Temperature,Minimum Temperature,Maximum Temperature,Mean PO2,Minimum PO2,Mean PCO2,Minimum PCO2,Maximum PCO2,Mean FiO2,Minimum FiO2,Maximum FiO2,Mean Base Excess,Minimum Base Excess,Maximum Base Excess,Mean RBC,Maximum Hemoglobin,Mean RDW,Mean MCH,Mean MCV,Mean MCHC,Mean Platelet,Mean WBC,Mean Basophils,Minimum Basophils,Maximum Basophils,Mean Eosinophils,Minimum Eosinophils,Mean Lymphocytes,Mean Monocytes,Maximum Monocytes,Minimum Neutrophils,Mean Albumin,Minimum Albumin,Maximum Albumin,Mean AG,Mean BUN,Mean Calcium,Mean Chloride,Mean Sodium,Mean Potassium,Mean Glucose,Minimum Glucose,Mean Creatinine,Mean INR,Mean PTT,Minimum PTT
0.024141233,0.012469542,0.005351812,0.003383022,0.005782046,0.002498482,0.000472604,0.002075335,0.001569705,0.004499208,0.00378472,0.000427535,0.009045385,0.010263811,0.004081388,0.003486121,0.00210218,0.00502523,0.001270731,0.003462958,0.003743919,0.002819584,0.001363047,0.01827103,0.009003899,0.00872478,0.006389733,0.003181863,0.005458176,0.001304107,0.003913075,0.008286992,0.001999591,0.006078336,0.002995424,0.002833085,0.004177061,8.44E-05,0.000230714,0.000134851,0.001880982,0.001612824,0.000257092,0.000968712,0.000523613,0.001314692,0.001429678,0.001207569,0.001561484,0.012727379,0.006600088,0.000168177,0.000656981,0.002564341,0.002331996,0.005833558,0.007137241,0.004166841,0.003153383,0.000402895,0.00606012
0.02345803,0.011068166,0.005414251,0.003134976,0.005595038,0.002537391,0.000476509,0.002094603,0.001558871,0.004073853,0.003461928,0.000400748,0.008570742,0.00937316,0.004276998,0.003358574,0.002031439,0.004917789,0.001344007,0.003570436,0.00393171,0.002791651,0.001582767,0.017760566,0.00862779,0.008440564,0.006030087,0.003037289,0.005210459,0.001263988,0.003668203,0.008177418,0.00164182,0.005640577,0.002794657,0.002775267,0.004459364,8.08E-05,0.000221705,0.000129672,0.001841011,0.00153702,0.000297646,0.000917187,0.000474514,0.001315037,0.001376925,0.00117573,0.001510695,0.013576424,0.006462687,0.000160539,0.000586578,0.002343033,0.002269341,0.005318742,0.007324614,0.00389008,0.002945687,0.000499567,0.005527693
0.024344637,0.012043709,0.005754452,0.003517665,0.005795532,0.002517557,0.000514911,0.002209218,0.0018195,0.004716309,0.003802254,0.000432606,0.009414205,0.010823241,0.004553662,0.003634686,0.002152873,0.005272801,0.001316174,0.003362759,0.004274959,0.003041437,0.001684659,0.019514415,0.009855405,0.008963585,0.00700486,0.003533002,0.005811532,0.001370466,0.003981628,0.008862079,0.002012128,0.006042853,0.003189131,0.002960126,0.00445682,9.40E-05,0.000248329,0.000147267,0.002042914,0.00170423,0.000369321,0.001014528,0.000497141,0.001451645,0.001475453,0.001260015,0.001571976,0.014148622,0.006544838,0.000176572,0.000660526,0.002794554,0.002447018,0.006188906,0.008434772,0.004098159,0.003123916,0.000434353,0.005427453
0.027010944,0.013882312,0.005822834,0.004104995,0.006136991,0.002685864,0.000491756,0.002340127,0.001668705,0.005195081,0.004111094,0.00052442,0.009372176,0.01062579,0.004538291,0.003781273,0.002249089,0.00554885,0.001368544,0.003891124,0.00438932,0.003168128,0.001667907,0.020005196,0.009933404,0.009368757,0.007017642,0.003631166,0.005932686,0.00140673,0.004091457,0.009821323,0.002240295,0.00662365,0.003234796,0.003191667,0.005286579,0.000101154,0.000256679,0.000156407,0.002077979,0.001781653,0.000328589,0.000985113,0.000499553,0.001474391,0.001524736,0.001305098,0.001634505,0.014466253,0.007108889,0.000189467,0.000710229,0.002624384,0.00256608,0.005964448,0.00870762,0.004342649,0.003353659,0.000523649,0.005681373
0.021594326,0.01120437,0.004838856,0.003201428,0.004798522,0.002645576,0.000413855,0.001865186,0.001613862,0.004229856,0.003410451,0.00039001,0.007876064,0.009568428,0.003949622,0.003409887,0.002018687,0.004973397,0.001165033,0.003594506,0.003774865,0.002756924,0.001452327,0.017799256,0.008890481,0.008658014,0.006030788,0.003059408,0.005112347,0.001280309,0.003801879,0.008608803,0.001720912,0.005549136,0.002881299,0.002730891,0.004572484,8.10E-05,0.000223978,0.000131461,0.001865353,0.001587285,0.000294843,0.000884986,0.000478037,0.001289461,0.001412408,0.001216025,0.001551338,0.012910919,0.006673544,0.000163654,0.000619605,0.002410896,0.002324527,0.005493271,0.007023604,0.004077069,0.003010556,0.00043853,0.006222429
0.02344063,0.011899477,0.005299336,0.003500335,0.005371965,0.00263549,0.000460937,0.002033065,0.001517308,0.00451061,0.003361201,0.000396289,0.008922788,0.009938605,0.004426118,0.003300642,0.002010083,0.004785992,0.001304419,0.003375929,0.003806458,0.00289372,0.001535999,0.017731107,0.008740716,0.008160082,0.006382941,0.00322155,0.00538059,0.001269755,0.003766528,0.008358213,0.001784433,0.005570829,0.002848894,0.002868261,0.004824693,8.28E-05,0.000223041,0.000130961,0.001805712,0.001498886,0.00033838,0.000951028,0.000503148,0.001401556,0.0013893,0.001196077,0.001489572,0.013587061,0.006301656,0.000166646,0.000683113,0.002477851,0.002266757,0.005243805,0.006873961,0.003986275,0.002965917,0.000403631,0.005381924
0.025082523,0.012109304,0.005928893,0.003741941,0.006327994,0.002591809,0.000514474,0.002205047,0.001740369,0.004634226,0.004070441,0.000432806,0.010294152,0.011076129,0.004670118,0.003617954,0.002165027,0.005234075,0.001233766,0.003175221,0.003763273,0.002894219,0.001571234,0.01837654,0.009453046,0.008892844,0.006437069,0.003257305,0.005408899,0.001355885,0.003876441,0.008549101,0.001968293,0.005908728,0.002955301,0.003129165,0.005052408,9.30E-05,0.00024386,0.000144578,0.001878281,0.001612387,0.000292886,0.000943542,0.000485434,0.001294263,0.001454249,0.001244353,0.001566414,0.014799114,0.006561032,0.000171669,0.000666354,0.002430791,0.002422093,0.005839613,0.007280781,0.004162599,0.003148716,0.000425361,0.006213939
0.024946686,0.012527798,0.005474454,0.003219081,0.004981155,0.002572493,0.000474797,0.001948522,0.001576661,0.004616942,0.003408204,0.000364704,0.008931073,0.009502191,0.004470751,0.003533296,0.002105259,0.005213747,0.001256356,0.003611555,0.004143825,0.002876951,0.001802752,0.018418606,0.008953662,0.008464242,0.006370003,0.003138136,0.005691714,0.001336277,0.003865082,0.009046348,0.001812751,0.006128126,0.002941522,0.002828931,0.004843064,8.92E-05,0.000236626,0.000141314,0.001946702,0.001615012,0.000334291,0.000952399,0.000500164,0.00152777,0.001427542,0.001228406,0.001523993,0.014193355,0.006536943,0.000172881,0.000749455,0.002686337,0.002368885,0.005901954,0.00882894,0.003983837,0.003142872,0.000440798,0.005952365
0.023133672,0.012011132,0.005869741,0.003898605,0.006306208,0.002611775,0.000510019,0.002098408,0.001724645,0.004710129,0.003737865,0.000431096,0.009967901,0.009946052,0.004742284,0.003515851,0.002089595,0.005174493,0.001148269,0.003291306,0.003935221,0.002956223,0.001473439,0.019160057,0.009659224,0.008682512,0.006342418,0.00313656,0.005431468,0.00136417,0.003910166,0.008922597,0.001897537,0.005959715,0.003002249,0.00308462,0.005032025,9.28E-05,0.000246886,0.000143077,0.001950324,0.001670838,0.000332813,0.001054501,0.000524421,0.001473972,0.001475132,0.001257167,0.001577176,0.014588428,0.006995828,0.000173487,0.000653611,0.002637403,0.002472833,0.005959357,0.007814948,0.0043067,0.003213196,0.000509278,0.006382403
0.023885962,0.01288339,0.005366171,0.003669699,0.005986522,0.002553389,0.000467196,0.002209539,0.001655306,0.004800916,0.004266843,0.000430551,0.009213816,0.010090514,0.004324891,0.003442701,0.002077866,0.005010749,0.001453834,0.003614321,0.003963239,0.002911533,0.001585649,0.018528959,0.009343121,0.008811469,0.006450662,0.003389236,0.005426103,0.001348686,0.003994996,0.009195283,0.001886365,0.005759459,0.002970816,0.003091737,0.004725227,9.03E-05,0.000239111,0.000137306,0.00188862,0.001572413,0.000313422,0.000980732,0.000519277,0.001397964,0.001418691,0.00122189,0.001555675,0.014991339,0.00636808,0.000171261,0.000666107,0.002336332,0.002398244,0.005973694,0.007349621,0.003995295,0.003095447,0.000477319,0.005797773
