Mean HR,Minimum HR,Maximum HR,Mean SBP,Minimum SBP,Maximum SBP,Mean DBP,Minimum DBP,Maximum DBP,Mean MAP,Minimum MAP,Maximum MAP,Mean RR,Minimum RR,Maximum RR,Mean Temperature,Minimum Temperature,Maximum Temperature,Mean PO2,Minimum PO2,Mean PCO2,Minimum PCO2,Maximum PCO2,Mean FiO2,Minimum FiO2,Maximum FiO2,Mean Base Excess,Minimum Base Excess,Maximum Base Excess,Mean RBC,Maximum Hemoglobin,Mean RDW,Mean MCH,Mean MCV,Mean MCHC,Mean Platelet,Mean WBC,Mean Basophils,Minimum Basophils,Maximum Basophils,Mean Eosinophils,Minimum Eosinophils,Mean Lymphocytes,Mean Monocytes,Maximum Monocytes,Minimum Neutrophils,Mean Albumin,Minimum Albumin,Maximum Albumin,Mean AG,Mean BUN,Mean Calcium,Mean Chloride,Mean Sodium,Mean Potassium,Mean Glucose,Minimum Glucose,Mean Creatinine,Mean INR,Mean PTT,Minimum PTT
0.004409038,0.002322532,0.010652311,0.003997385,0.007199233,0.009076916,0.010177771,0.003732112,0.004523533,0.01148062,0.00188372,0.004184583,0.006861675,0.00618306,0.005506013,0.002893605,0.001028391,0.005227562,0.011436048,0.003220923,0.005343168,0.014918738,0.005696209,0.007886173,0.003833164,0.008448964,0.004279538,0.004044745,0.006049109,5.12E-05,0.003058426,0.000529293,6.12E-05,0.001895895,0.000347514,0.0015765,0.001647291,0.000260712,0.000293334,0.000145988,0.001031871,0.001286326,0.001731052,0.000915304,0.001459071,0.002142424,0.001010028,0.000979618,0.000839818,0.000688222,0.002335219,0.000483036,0.000415073,0.001013103,0.000765119,0.004608022,0.003069462,0.000403873,0.000296889,0.000872049,0.001855882
0.004267316,0.002363069,0.010519541,0.003987873,0.007198001,0.009509878,0.009827811,0.003565916,0.004625967,0.010632986,0.001755137,0.004263213,0.006946657,0.005852717,0.005999443,0.002853411,0.001012792,0.005243767,0.0110345,0.003314383,0.005392415,0.014694059,0.005900896,0.007980923,0.003916639,0.00844871,0.004131806,0.004113773,0.005877908,5.06E-05,0.002957536,0.000523333,5.35E-05,0.001759776,0.000330314,0.001590289,0.001722683,0.000251867,0.000284756,0.000140143,0.001020377,0.001237102,0.001862843,0.000902507,0.001489421,0.002048692,0.000987356,0.000963337,0.000825009,0.000693283,0.002210701,0.000459192,0.000427311,0.00099261,0.000754059,0.004671132,0.003285699,0.000389608,0.000290351,0.001040209,0.001699769
0.004334824,0.002289206,0.010434507,0.00399335,0.007323704,0.008995439,0.010361648,0.003656186,0.004683226,0.011391587,0.001817899,0.004093139,0.006874495,0.006159928,0.005790802,0.0028614,0.001007512,0.005171607,0.011540305,0.002824875,0.005207342,0.014657709,0.005719671,0.007990882,0.003643441,0.008271084,0.004384641,0.004059443,0.005875852,5.33E-05,0.002997418,0.00053266,6.04E-05,0.001770123,0.000353968,0.001597438,0.00159181,0.000263504,0.000296788,0.000149522,0.00106753,0.001298589,0.001898733,0.000915909,0.001471706,0.002191333,0.000998293,0.000972879,0.000815379,0.000733075,0.002264803,0.00046948,0.000466396,0.00099953,0.000760151,0.004804022,0.003277693,0.000387548,0.000292722,0.000999594,0.001597229
0.004501918,0.00249152,0.010099772,0.004043118,0.007246421,0.009245486,0.010364466,0.003803901,0.004468133,0.011929341,0.001910845,0.004120025,0.006723861,0.006094844,0.005630193,0.002905866,0.001016727,0.005329269,0.011755301,0.003301255,0.005482423,0.015295776,0.005823416,0.007818693,0.003755439,0.008308319,0.004188408,0.004069707,0.005770492,5.29E-05,0.003055668,0.000552495,6.10E-05,0.001840795,0.000348972,0.001587673,0.001876962,0.000260154,0.000292852,0.000147722,0.001051798,0.001313286,0.001759284,0.000891593,0.001452754,0.002172269,0.001005001,0.000977014,0.000824268,0.000704429,0.002373723,0.000481556,0.000456356,0.00099007,0.000767573,0.004706616,0.003137733,0.000393188,0.000298717,0.000922417,0.001572466
0.00420643,0.002250029,0.009875806,0.004209061,0.007411396,0.009625097,0.009935437,0.003515589,0.005018981,0.011321412,0.001812242,0.004343122,0.006639018,0.006207716,0.005764744,0.002957242,0.001028457,0.005424368,0.012139687,0.003327416,0.005614708,0.014577737,0.006014549,0.008066607,0.003702432,0.008555381,0.00432445,0.004027954,0.005634187,5.51E-05,0.003120068,0.000552508,5.73E-05,0.001758543,0.000347039,0.0016052,0.00177054,0.00026824,0.000301212,0.000152329,0.001042108,0.001308315,0.001906312,0.000857424,0.001504721,0.002271112,0.001022009,0.000999514,0.00085799,0.000735554,0.00238057,0.000484959,0.000475421,0.001002016,0.000788887,0.004791612,0.003137219,0.000409558,0.000307442,0.001019575,0.001917795
0.004303876,0.002309058,0.010639814,0.004187178,0.007406807,0.009747928,0.010626711,0.003690966,0.004590975,0.011653424,0.001796738,0.004134551,0.00699791,0.006081607,0.006270231,0.002859083,0.001012692,0.005233695,0.012230402,0.003304552,0.005456298,0.0150811,0.005953021,0.007938093,0.003840578,0.008054411,0.004407311,0.004053965,0.005948627,5.39E-05,0.003132358,0.00052781,5.85E-05,0.001799929,0.000344387,0.001612966,0.001858161,0.000261407,0.00029347,0.000146647,0.001030356,0.001250755,0.001979124,0.000932387,0.001526049,0.002261639,0.001006858,0.000990719,0.000828876,0.000692129,0.002248975,0.000480843,0.000463486,0.001013416,0.00076935,0.004574668,0.003043904,0.000403576,0.000293923,0.000923129,0.001657742
0.004393791,0.002225747,0.010719154,0.003968409,0.007362538,0.009566244,0.009912208,0.003790299,0.004713095,0.011274753,0.001885157,0.004154749,0.007404225,0.006477938,0.006010803,0.002929883,0.001023863,0.005305217,0.011536664,0.002681188,0.005236044,0.014379753,0.005878365,0.008139581,0.003868232,0.008505927,0.004309815,0.004021331,0.005675917,5.61E-05,0.003048281,0.000520165,5.86E-05,0.001787423,0.00033322,0.00158686,0.001786557,0.000269064,0.000301306,0.000152205,0.001002425,0.001264452,0.001761863,0.000875689,0.001436676,0.002179539,0.001021724,0.0009996,0.000842487,0.000797295,0.002203048,0.000485565,0.00045813,0.000978777,0.000776775,0.004667179,0.003185129,0.000400427,0.000301094,0.001026541,0.001899902
0.004377349,0.002408008,0.010483696,0.003810796,0.007352418,0.008918421,0.010361492,0.003700061,0.004398309,0.011553595,0.001837669,0.004057576,0.006873323,0.005869769,0.005961507,0.00288327,0.001008426,0.005315484,0.010982053,0.003448605,0.005331865,0.01463182,0.005761323,0.007928334,0.003690781,0.008118022,0.004343878,0.00412042,0.006128364,5.16E-05,0.002953209,0.000558752,5.31E-05,0.001816503,0.000329788,0.001533395,0.001844277,0.000259235,0.000291783,0.000145902,0.001023781,0.001253345,0.001920779,0.000853118,0.001431979,0.002376167,0.000988607,0.000968643,0.00080948,0.000750865,0.002155496,0.000468176,0.000444381,0.001058753,0.000754982,0.004908977,0.003313369,0.000387875,0.000296162,0.000935228,0.001743631
0.004321748,0.002280875,0.010745872,0.004160241,0.007096221,0.009539072,0.010431006,0.003599989,0.004479258,0.011378369,0.001808384,0.004163123,0.007334751,0.006004191,0.005998084,0.002879108,0.001014656,0.005267275,0.011201398,0.002813748,0.005363775,0.014705778,0.005850322,0.008139591,0.003725472,0.008304687,0.004307391,0.004062023,0.005854306,5.34E-05,0.002983614,0.000561728,5.82E-05,0.001775086,0.000335094,0.001553362,0.001805741,0.000264615,0.000299113,0.000149141,0.001052365,0.001316758,0.001759232,0.000974438,0.001525912,0.002299659,0.001023365,0.000990718,0.000834899,0.000767063,0.002433207,0.000478403,0.000456879,0.000986802,0.000784545,0.004626917,0.00317391,0.000409687,0.000300989,0.000937115,0.001813332
0.004266219,0.002306755,0.01079371,0.00388725,0.007191982,0.009540555,0.010623032,0.003861958,0.004610968,0.011796986,0.001937325,0.0044269,0.007011417,0.00601099,0.005946081,0.002851014,0.001016144,0.005216367,0.012187099,0.00305004,0.005285127,0.014534372,0.005690707,0.007969895,0.003793287,0.008306958,0.004260465,0.004180976,0.005658334,5.14E-05,0.00318622,0.000558492,5.73E-05,0.001765583,0.000340361,0.001514514,0.001875892,0.000252602,0.000286841,0.000139552,0.001030781,0.001233261,0.001736011,0.000916968,0.001526572,0.002161161,0.00099332,0.000977956,0.000832028,0.000735409,0.002234212,0.000461565,0.000432983,0.000952018,0.000757768,0.004677733,0.003064147,0.000378088,0.00028945,0.001021749,0.001607019
