0,1,2,3,4,5
0.558929863,0.51615575,0.534282313,0.540210048,0.509691445,0.500821448
0.582394497,0.454297865,0.459286414,0.540783409,0.544452758,0.476398035
0.588271053,0.614916132,0.401959607,0.525601752,0.662538753,0.472755342
0.645752023,0.684279133,0.436291463,0.571239654,0.660731191,0.478374668
0.686826864,0.713564755,0.508376341,0.614667449,0.629310362,0.528818606
0.690377512,0.715076501,0.549816111,0.596910884,0.645501767,0.479775497
0.697225429,0.725576586,0.64030394,0.63176311,0.670788888,0.49576229
0.707303185,0.741927847,0.642935366,0.637385836,0.680774689,0.508013495
0.723645723,0.748344888,0.616880805,0.656989562,0.690673545,0.568685983
0.72051414,0.751981908,0.628477396,0.660748692,0.68856581,0.508545594
0.728408585,0.745266595,0.657771368,0.663379458,0.686365201,0.466647863
0.737413013,0.754180983,0.684106822,0.681166698,0.700371148,0.536068427
0.745783774,0.75741035,0.657161234,0.695438338,0.707080919,0.455764784
0.746730852,0.751505028,0.686360592,0.695770287,0.708736874,0.489460571
0.751008537,0.755748632,0.709139731,0.704703914,0.732058285,0.489558747
0.753230811,0.759878422,0.712367887,0.714428015,0.705462077,0.485517661
0.756509103,0.762747046,0.725381689,0.71119025,0.691414919,0.467298917
0.759344188,0.761639827,0.718319905,0.710216309,0.68132252,0.490583155
0.759060308,0.762531364,0.761108054,0.707279877,0.682409469,0.482485519
0.754079721,0.76367208,0.730066929,0.691896733,0.686947879,0.546484677
