0,1,2,3,4,5
0.65317021,0.653840813,0.58583039,0.614735086,0.613787441,0.520051963
0.712337504,0.678926487,0.660679221,0.651011704,0.610764433,0.529669384
0.728375274,0.758813502,0.674054882,0.675878106,0.641061614,0.549768697
0.730965155,0.770150745,0.691827877,0.681200045,0.650184963,0.605109949
0.737560734,0.775293955,0.698827808,0.688375984,0.635461311,0.602422614
0.741918512,0.775192297,0.706637207,0.695370552,0.611689673,0.612199971
0.746933251,0.775449746,0.704488137,0.693184183,0.620520302,0.588567109
0.753738278,0.795434525,0.712214826,0.70534194,0.617548792,0.597917867
0.753469338,0.79883285,0.714241489,0.705036252,0.566867102,0.580424166
0.758384189,0.796876152,0.725341726,0.717753488,0.59407448,0.544883749
0.763348413,0.801120386,0.722756553,0.721414493,0.587694479,0.567376381
0.762739697,0.809903098,0.722636017,0.729709555,0.646776856,0.552551755
0.763983486,0.812187095,0.725803718,0.73627658,0.607393417,0.538911202
0.763359475,0.817129418,0.733244407,0.737048697,0.66724241,0.611189291
0.763545536,0.81962153,0.729904532,0.70330323,0.666519396,0.615096398
0.765967997,0.819043899,0.741193056,0.69077535,0.649738917,0.57207489
0.765750444,0.817923759,0.745281073,0.695475966,0.658109125,0.52615607
0.76890498,0.817059891,0.744610566,0.691955561,0.668269768,0.595217315
0.768479967,0.822121959,0.743841852,0.685147865,0.64456804,0.565098987
0.769673774,0.821336669,0.75343259,0.697755138,0.684574777,0.597219906
